file,seed,env_dim,planner,pair_index,num_test_positions,num_vertices,num_edges,discrete_path_cost,continuous_path_cost
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.94.pkl,10,2,RRT,94,20075,220,221,15.866918133856881,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.95.pkl,10,2,RRT,95,3848,76,77,11.79630452563482,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.96.pkl,10,2,RRT,96,537,15,16,13.792139170839462,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.97.pkl,10,2,RRT,97,1172,29,30,10.901327854481254,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.98.pkl,10,2,RRT,98,400,15,16,6.046471013258924,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.99.pkl,10,2,RRT,99,345,15,16,8.027609505235707,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.0.pkl,10,2,PRM,0,5526,5,8,11.790990967432974,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.1.pkl,10,2,PRM,1,14118,10,27,26.077019484055043,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.2.pkl,10,2,PRM,2,4939,5,8,11.190517094455952,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.3.pkl,10,2,PRM,3,5245,5,8,12.288388893909397,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.4.pkl,10,2,PRM,4,5541,5,8,16.157979343460013,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.5.pkl,10,2,PRM,5,4955,5,8,11.137025860284671,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.6.pkl,10,2,PRM,6,5774,5,8,24.383800788001317,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.7.pkl,10,2,PRM,7,5455,5,8,15.560723552973432,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.8.pkl,10,2,PRM,8,5129,5,8,12.87028136825661,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.9.pkl,10,2,PRM,9,14011,10,27,11.86056863597467,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.10.pkl,10,2,PRM,10,5391,5,8,12.634439166844102,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.11.pkl,10,2,PRM,11,5543,5,8,13.51870526883184,inf
